
ProcessName        Id       CPU WorkingSet64
-----------        --       --- ------------
msedge         122160    2.4375    137420800
msedge         139916   5.71875    215252992
msedge         140632     0.375     56209408
msedge         145204      0.75     54464512
msedge         152608  0.140625     22687744
msedge         152892   0.15625     35692544
msedge         153308   0.09375     15245312
msedgewebview2  63032     2.125     34570240
msedgewebview2 107572    9.3125     20475904
msedgewebview2 115532   0.28125      2891776
msedgewebview2 136048 15.109375     72204288
msedgewebview2 142188      13.5    120369152
msedgewebview2 146836       2.5      8904704


