schema_version,execution_index,run_id,experiment_id,stage,split,mode,workload_ids,target_id,neighbor_ids,combination_key,colocation_id,resource,pressure_requested,pressure_applied,repeat,seed,warmup_s,duration_s,sample_interval_s,cooldown_s,host_id,gpu_index,display_index,window_layout,require_visible_windows,max_gpu_temp_c,config_sha256,root_commit,run_directory,game_entrypoints,game_sha256s,row_sha256
2,1,formal-highfps-v1__colocation__pyxel_jump+pyxel_platformer__r02,formal-highfps-v1,colocation-main,train,colocation,"[""pyxel_jump"",""pyxel_platformer""]",pyxel_jump,"[""pyxel_platformer""]",pyxel_jump+pyxel_platformer,pyxel_jump+pyxel_platformer__r02,,,,2,539541111971655804,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__colocation__pyxel_jump+pyxel_platformer__r02,"{""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",fc6357eb44f2c60bb823ee68ac9ffa361ea451b26483a06dba894963107d9eba
2,2,formal-highfps-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,formal-highfps-v1,colocation-extra-test,extra_test,extra_test,"[""pyxel_bubbles"",""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles,"[""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake,pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,,,,1,2588038058385549033,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3""}",888ca8fb22773b0fee4c8267bd579a7e132036310c35ce740713d5d931ef9f95
2,3,formal-highfps-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__r02,formal-highfps-v1,colocation-main,validation,colocation,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",pyxel_shooter,"[""pyxel_snake"",""space_rescue""]",pyxel_shooter+pyxel_snake+space_rescue,pyxel_shooter+pyxel_snake+space_rescue__r02,,,,2,11797324761857393826,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__r02,"{""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",8e0654233579d7e4c714c527ea7929773dab0a0f7137e3d55d3513250ee370e7
2,4,formal-highfps-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,formal-highfps-v1,colocation-extra-test,extra_test,extra_test,"[""daylight"",""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight,"[""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight+pyxel_bubbles+pyxel_shooter+space_rescue,daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,,,,3,15073077576397670072,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",c397d516096449c75ccbcb9e4aa60246008d252950c2fb08660ddb513e6b2b45
2,5,formal-highfps-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,formal-highfps-v1,colocation-extra-test,extra_test,extra_test,"[""mega_wing"",""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing+pyxel_shooter+pyxel_snake+space_rescue,mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,,,,1,6250839922291618935,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",19dfc194c15cf1e44f5b8db892f2b645d6ec4ef113c45a15e35c4a8f73f4f332
2,6,formal-highfps-v1__solo__daylight__r01,formal-highfps-v1,solo,not_applicable,solo,"[""daylight""]",daylight,[],,,,,,1,44879349506408657,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__solo__daylight__r01,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f""}",c409ef1002b43b623725032596586e30a5b4dd76787eaa79f4dcc595aba5d3fd
2,7,formal-highfps-v1__solo__mega_wing__r03,formal-highfps-v1,solo,not_applicable,solo,"[""mega_wing""]",mega_wing,[],,,,,,3,4598453964554603727,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__solo__mega_wing__r03,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f""}",0c89f2fe4125835743f4dbdd8127e19801bc3e5c0f1e173001f85a6a294754b4
2,8,formal-highfps-v1__colocation__mega_wing+pyxel_snake+space_rescue__r03,formal-highfps-v1,colocation-main,train,colocation,"[""mega_wing"",""pyxel_snake"",""space_rescue""]",mega_wing,"[""pyxel_snake"",""space_rescue""]",mega_wing+pyxel_snake+space_rescue,mega_wing+pyxel_snake+space_rescue__r03,,,,3,8142017781895895066,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__colocation__mega_wing+pyxel_snake+space_rescue__r03,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",b72c8f669785676ede60dbf12fb3af8059f60cc9d90a08b26a771239eb6a53bd
2,9,formal-highfps-v1__solo__pyxel_bubbles__r03,formal-highfps-v1,solo,not_applicable,solo,"[""pyxel_bubbles""]",pyxel_bubbles,[],,,,,,3,13166571500155742058,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__solo__pyxel_bubbles__r03,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900""}",ab2ffde7618a518187af924ce70b48b9876604917909cbbdf41a88fa3224a695
2,10,formal-highfps-v1__colocation__daylight+pyxel_bubbles+pyxel_platformer__r02,formal-highfps-v1,colocation-main,test,colocation,"[""daylight"",""pyxel_bubbles"",""pyxel_platformer""]",daylight,"[""pyxel_bubbles"",""pyxel_platformer""]",daylight+pyxel_bubbles+pyxel_platformer,daylight+pyxel_bubbles+pyxel_platformer__r02,,,,2,3256605726736093810,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,057fabc1d66b32acf1ad702c264f6243a8e4c6fd5858eefea40153d124f4f0a3,b2f42d80ffebc10a43999056ff5c1814b8e87fd7,data/raw/formal-highfps-v1/formal-highfps-v1__colocation__daylight+pyxel_bubbles+pyxel_platformer__r02,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",4b4338bbfdb0b1403c98cf34fa53aac33299aca3c551c50750ecf19b480b407a
