schema_version,execution_index,run_id,experiment_id,stage,split,mode,workload_ids,target_id,neighbor_ids,combination_key,colocation_id,resource,pressure_requested,repeat,seed,warmup_s,duration_s,sample_interval_s,cooldown_s,host_id,gpu_index,display_index,window_layout,require_visible_windows,max_gpu_temp_c,config_sha256,root_commit,run_directory,game_entrypoints,game_sha256s,row_sha256
1,1,formal-v1__colocation__pyxel_jump+pyxel_platformer__r02,formal-v1,colocation-main,train,colocation,"[""pyxel_jump"",""pyxel_platformer""]",pyxel_jump,"[""pyxel_platformer""]",pyxel_jump+pyxel_platformer,pyxel_jump+pyxel_platformer__r02,,,2,539541111971655804,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__colocation__pyxel_jump+pyxel_platformer__r02,"{""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",18190f06485202d7fc4ad243f129670cd1fec43e951efa86a3f823cee27e1794
1,2,formal-v1__profile__pyxel_bubbles__gpu_compute__p025__r02,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_bubbles""]",pyxel_bubbles,[],,,gpu_compute,0.25,2,16621864881322943949,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__profile__pyxel_bubbles__gpu_compute__p025__r02,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900""}",a3341b96120a5f83b43ca9a836594687dc3a8b6e7d2de58651b7ad9f5eca181c
1,3,formal-v1__profile__pyxel_snake__cpu_compute__p050__r01,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_snake""]",pyxel_snake,[],,,cpu_compute,0.5,1,9921734542372112850,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__profile__pyxel_snake__cpu_compute__p050__r01,"{""pyxel_snake"":""games/pyxel/07_snake.py""}","{""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3""}",f5abcf2adf73868beb5a76ced54880ea475c599dd2093ac0d29a70afd03f5667
1,4,formal-v1__profile__pyxel_bubbles__gpu_compute__p100__r02,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_bubbles""]",pyxel_bubbles,[],,,gpu_compute,1,2,342507276424832333,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__profile__pyxel_bubbles__gpu_compute__p100__r02,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900""}",79462f7171e1bb58c78d283ef711080ce8becd9fa7787edbe97fa0852792f7c4
1,5,formal-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,formal-v1,colocation-extra-test,extra_test,extra_test,"[""pyxel_bubbles"",""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles,"[""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake,pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,,,1,2588038058385549033,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3""}",37cf8f6a4f0dc95fe2c2544a7902d50339a8e28a0c93dad445fc93b43898ab76
1,6,formal-v1__profile__pyxel_shooter__gpu_compute__p000__r02,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_shooter""]",pyxel_shooter,[],,,gpu_compute,0,2,11458271528172579681,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__profile__pyxel_shooter__gpu_compute__p000__r02,"{""pyxel_shooter"":""games/pyxel/09_shooter.py""}","{""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563""}",ba9de091253235faf55b182664eb76d641d0642e563f32982770cf2a50193ff2
1,7,formal-v1__profile__mega_wing__cpu_compute__p100__r03,formal-v1,profile,not_applicable,pressure_profile,"[""mega_wing""]",mega_wing,[],,,cpu_compute,1,3,1670053174466730882,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__profile__mega_wing__cpu_compute__p100__r03,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f""}",38e82866f962e4c35e96095096a1ce94f963b7ed8d99fcf41ec7176cff017d89
1,8,formal-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__r02,formal-v1,colocation-main,validation,colocation,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",pyxel_shooter,"[""pyxel_snake"",""space_rescue""]",pyxel_shooter+pyxel_snake+space_rescue,pyxel_shooter+pyxel_snake+space_rescue__r02,,,2,11797324761857393826,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__r02,"{""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",1399ae8883477ae0edefd98fbe0126790561e9bf510903ca12053fa888b8c643
1,9,formal-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,formal-v1,colocation-extra-test,extra_test,extra_test,"[""daylight"",""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight,"[""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight+pyxel_bubbles+pyxel_shooter+space_rescue,daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,,,3,15073077576397670072,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",27bdc02618c39e61f3f61100279d63e3f8bbbe624208daf737452d8c083196fd
1,10,formal-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,formal-v1,colocation-extra-test,extra_test,extra_test,"[""mega_wing"",""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing+pyxel_shooter+pyxel_snake+space_rescue,mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,,,1,6250839922291618935,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,84,a36b78d2998befbd10330adef8f5ab1f813a7a68144bd44a59f55bb779224525,608d817cd8d44787fc0ba4c2f2ee507f0b4c987f,data/raw/remaining-s30/formal-v1/formal-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",819e905fb1869a964301715ab2721a0caf6681218d7222ca521e9330199b27be
