schema_version,execution_index,run_id,experiment_id,stage,split,mode,workload_ids,target_id,neighbor_ids,combination_key,colocation_id,resource,pressure_requested,pressure_applied,repeat,seed,warmup_s,duration_s,sample_interval_s,cooldown_s,host_id,gpu_index,display_index,window_layout,require_visible_windows,max_gpu_temp_c,config_sha256,root_commit,run_directory,game_entrypoints,game_sha256s,row_sha256
2,1,formal-v1__colocation__pyxel_jump+pyxel_platformer__r02,formal-v1,colocation-main,train,colocation,"[""pyxel_jump"",""pyxel_platformer""]",pyxel_jump,"[""pyxel_platformer""]",pyxel_jump+pyxel_platformer,pyxel_jump+pyxel_platformer__r02,,,,2,539541111971655804,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__colocation__pyxel_jump+pyxel_platformer__r02,"{""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_platformer"":""games/pyxel/10_platformer.py""}","{""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_platformer"":""1b2c75b49dc9ab0254fb4b724682a4787868814a38d2f08920720dc5b6007ac5""}",c97c600b7788b615442fec7d8a0aff3ae482544506325ac826c69957a283de97
2,2,formal-v1__profile__pyxel_bubbles__gpu_compute__p025__r02,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_bubbles""]",pyxel_bubbles,[],,,gpu_compute,0.25,0.0625,2,16621864881322943949,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__profile__pyxel_bubbles__gpu_compute__p025__r02,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900""}",5380f9f04900a54f3238d6afccdf6bd0814ac2b7beb7a01aad710bf50ea1a3e4
2,3,formal-v1__profile__pyxel_snake__cpu_compute__p050__r01,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_snake""]",pyxel_snake,[],,,cpu_compute,0.5,0.5,1,9921734542372112850,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__profile__pyxel_snake__cpu_compute__p050__r01,"{""pyxel_snake"":""games/pyxel/07_snake.py""}","{""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3""}",66eb3a7086517e008450d302f5aba1279705d350618fd6e9910f538cfe03d5ef
2,4,formal-v1__profile__pyxel_bubbles__gpu_compute__p100__r02,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_bubbles""]",pyxel_bubbles,[],,,gpu_compute,1,0.25,2,342507276424832333,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__profile__pyxel_bubbles__gpu_compute__p100__r02,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900""}",3e7cbf592beb2143a1716b6d5630a72f79e67dd86ab29a958e9062a7ae8c4264
2,5,formal-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,formal-v1,colocation-extra-test,extra_test,extra_test,"[""pyxel_bubbles"",""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles,"[""pyxel_jump"",""pyxel_shooter"",""pyxel_snake""]",pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake,pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,,,,1,2588038058385549033,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__extra__pyxel_bubbles+pyxel_jump+pyxel_shooter+pyxel_snake__r01,"{""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_jump"":""games/pyxel/02_jump_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py""}","{""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_jump"":""4743a825f1c9cae7e049ac52115f4ecf83350db546c00745a54af187d7bc2e46"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3""}",da4b469d17c71eec9bf74b4dd42abdcc53968893c76dbb37855080b7c474760c
2,6,formal-v1__profile__pyxel_shooter__gpu_compute__p000__r02,formal-v1,profile,not_applicable,pressure_profile,"[""pyxel_shooter""]",pyxel_shooter,[],,,gpu_compute,0,0,2,11458271528172579681,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__profile__pyxel_shooter__gpu_compute__p000__r02,"{""pyxel_shooter"":""games/pyxel/09_shooter.py""}","{""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563""}",61e33a5c9766b41406d4e8ce7bce346a242719fe45bc0ee6c7ac34c30e2e2147
2,7,formal-v1__profile__mega_wing__cpu_compute__p100__r03,formal-v1,profile,not_applicable,pressure_profile,"[""mega_wing""]",mega_wing,[],,,cpu_compute,1,1,3,1670053174466730882,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__profile__mega_wing__cpu_compute__p100__r03,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f""}",b4aba1967708ffe63795804cf5ca10e5f99386ea0a21471a8e418b35d0bee3ee
2,8,formal-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__r02,formal-v1,colocation-main,validation,colocation,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",pyxel_shooter,"[""pyxel_snake"",""space_rescue""]",pyxel_shooter+pyxel_snake+space_rescue,pyxel_shooter+pyxel_snake+space_rescue__r02,,,,2,11797324761857393826,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__colocation__pyxel_shooter+pyxel_snake+space_rescue__r02,"{""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",fb36a23a9b632ec2bd99cd3ec1a412f81a8eacb2be20fc5d27fb380ca33a6246
2,9,formal-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,formal-v1,colocation-extra-test,extra_test,extra_test,"[""daylight"",""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight,"[""pyxel_bubbles"",""pyxel_shooter"",""space_rescue""]",daylight+pyxel_bubbles+pyxel_shooter+space_rescue,daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,,,,3,15073077576397670072,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__extra__daylight+pyxel_bubbles+pyxel_shooter+space_rescue__r03,"{""daylight"":""games/pyxel/apps-src/30SecondsOfDaylight/src/main.py"",""pyxel_bubbles"":""games/pyxel/06_click_game.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""daylight"":""21a365375249e9d7ea05e78dcfe040f09cc1f0c66bd410bae084190c743a028f"",""pyxel_bubbles"":""54c101e90bdaed839ac4c4284494530d5df37a5819a35f1e41eebb0b3da5d900"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",2edd25dff5c343a4c2507ee0d50349c9c09a4ec01406ec0a48af3326ce4db3f8
2,10,formal-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,formal-v1,colocation-extra-test,extra_test,extra_test,"[""mega_wing"",""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing,"[""pyxel_shooter"",""pyxel_snake"",""space_rescue""]",mega_wing+pyxel_shooter+pyxel_snake+space_rescue,mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,,,,1,6250839922291618935,10,30,1,10,windows-rtx4060,0,0,grid_2x2,true,80,97d038c3fba55e8663b4a244a72f2c6af5e355cf1641eb229b1e93540dede9b9,5ed80cf2bad8dd330eb4d739a19a5dced2b18149,data/raw/safety-v2-s30/formal-v1/formal-v1__extra__mega_wing+pyxel_shooter+pyxel_snake+space_rescue__r01,"{""mega_wing"":""games/pyxel/apps-src/mega_wing/mega_wing.py"",""pyxel_shooter"":""games/pyxel/09_shooter.py"",""pyxel_snake"":""games/pyxel/07_snake.py"",""space_rescue"":""games/pyxel/apps-src/space_rescue/space_rescue.py""}","{""mega_wing"":""86bad6c02a303806c58137503739241dc6b1e86695f7c0dbf672b5e1a1464e9f"",""pyxel_shooter"":""0f53e4156907eac41080a8f289e22c89365b3239517c754cf59a51af201d5563"",""pyxel_snake"":""bc533fef92d1d358e570f69d979919fe5c1cd8c4da49841104b49a1e661a5ac3"",""space_rescue"":""f3b0ab6784ae558e64f06a3f0a704e53f107a130aa3d43357659d0850131e461""}",d7dc569158f7ddc6de351ab880367f2b1192b09c0cde0ea49ae2eca900eeac97
